P-state,Threads,Runtime,Throughput,Commits,,,
7,9,0.81602,0,0,,1.575381731,1.285543
7,10,0.868196,0,0,,1.48070597,1.285543
7,11,0.916272,0,0,,1.403014607,1.285543
7,12,0.937456,0,0,,1.371310227,1.285543
7,13,0.918219,0,0,,1.400039642,1.285543
7,14,0.912272,0,0,,1.409166345,1.285543
7,15,1.045497,0,0,,1.229599894,1.285543
7,16,1.011476,0,0,,1.270957492,1.285543
7,17,1.04913,0,0,,1.22534195,1.285543
7,18,1.081063,0,0,,1.189147163,1.285543
7,19,1.027038,0,0,,1.251699548,1.285543
7,20,1.069688,0,0,,1.201792485,1.285543
8,1,1.740161,0,0,,0.738749461,1.285543
8,2,1.446088,0,0,,0.888979785,1.285543
8,3,0.669453,0,0,,1.920288654,1.285543
8,4,0.538358,0,0,,2.387896158,1.285543
8,5,0.541745,0,0,,2.372966986,1.285543
8,6,0.662818,0,0,,1.939511299,1.285543
8,7,0.687862,0,0,,1.868896668,1.285543
8,8,0.756497,0,0,,1.699336547,1.285543
8,9,0.845574,0,0,,1.520319925,1.285543
