P-state,Threads,Throughput,Power,Steps,Runtime,Commits,Aborts,Energy
9.000000,3.000000,1077079.774065,37.740937,1.000000,8.271203,22362284.200000,205.800000,312.155829
9.000000,4.000000,1122392.469173,38.664291,1.000000,7.364379,22362285.400000,306.400000,284.738407
9.000000,5.000000,1154157.106812,39.722359,1.000000,6.870120,22362289.800000,444.200000,272.904038
9.000000,6.000000,1159035.194850,40.335167,1.000000,6.796946,22362291.000000,537.400000,274.150470
9.000000,7.000000,1175795.071563,41.552696,1.000000,6.526716,22362291.000000,665.800000,271.140395
9.000000,8.000000,1189199.777281,42.952361,1.000000,6.308569,22362293.400000,790.400000,270.962856
9.000000,9.000000,1188538.765484,43.750116,1.000000,6.312894,22362298.600000,895.000000,276.196254
9.000000,10.000000,1204106.463260,44.524698,1.000000,6.067316,22362301.800000,1017.800000,270.140885
9.000000,11.000000,1183164.634237,45.029987,1.000000,6.396688,22362304.200000,1099.200000,288.044294
9.000000,12.000000,1199730.234591,45.988200,1.000000,6.128820,22362303.800000,1232.600000,281.882530
9.000000,13.000000,1198467.955734,46.551941,1.000000,6.152466,22362305.000000,1324.600000,286.391930
9.000000,14.000000,1212063.498323,47.487512,1.000000,5.941539,22362305.800000,1472.400000,282.150804
9.000000,15.000000,1190911.580912,48.170047,1.000000,6.284624,22362312.600000,1569.400000,302.718537
9.000000,16.000000,1220127.729699,48.989048,1.000000,5.824574,22362317.400000,1734.200000,285.319521
9.000000,17.000000,1197186.332691,49.275839,1.000000,6.168576,22362316.600000,1747.800000,303.976590
9.000000,18.000000,1211435.198535,50.338908,1.000000,5.952813,22362315.800000,1936.000000,299.674123
9.000000,19.000000,1205030.132523,51.266359,1.000000,5.962546,22362318.600000,2075.800000,305.595141
9.000000,20.000000,1214777.511248,51.769499,1.000000,5.916317,22362321.800000,2154.400000,306.291623
10.000000,1.000000,793605.097563,34.081819,1.000000,14.798029,22362279.000000,0.000000,504.336990
10.000000,2.000000,876570.814822,35.554755,1.000000,12.099789,22362281.000000,84.400000,430.206027
10.000000,3.000000,1009984.711886,36.859973,1.000000,8.729712,22362283.400000,198.400000,321.769867
10.000000,4.000000,1051043.272045,37.643477,1.000000,7.887819,22362285.000000,300.000000,296.929465
10.000000,5.000000,1080762.779296,38.545556,1.000000,7.311521,22362289.800000,416.400000,281.829906
10.000000,6.000000,1101324.139178,39.541759,1.000000,6.918076,22362290.600000,511.000000,273.497542
10.000000,7.000000,1102277.472962,40.131803,1.000000,6.905591,22362291.000000,661.000000,277.128844
10.000000,8.000000,1104899.663967,41.068788,1.000000,6.849559,22362293.400000,790.400000,281.286976
10.000000,9.000000,1116692.405558,42.050904,1.000000,6.635042,22362299.000000,876.600000,279.013421
10.000000,10.000000,1129323.755768,43.231972,1.000000,6.416050,22362303.400000,1011.000000,277.349937
10.000000,11.000000,1115898.812554,43.667001,1.000000,6.645533,22362303.400000,1059.600000,290.211647
10.000000,12.000000,1122468.149004,44.943502,1.000000,6.534422,22362303.800000,1204.600000,293.629083
10.000000,13.000000,1140519.717697,45.208590,1.000000,6.209426,22362305.400000,1344.400000,280.721303
10.000000,14.000000,1125011.856440,45.733745,1.000000,6.489295,22362306.600000,1477.000000,296.784958
10.000000,15.000000,1128147.061097,46.537382,1.000000,6.429647,22362311.800000,1577.400000,299.216776
10.000000,16.000000,1123489.759599,47.381867,1.000000,6.503720,22362319.000000,1686.400000,308.185478
10.000000,17.000000,1145377.990716,47.891963,1.000000,6.117757,22362316.600000,1833.800000,292.969233
10.000000,18.000000,1127582.741060,48.887505,1.000000,6.433482,22362315.800000,1927.000000,314.532861
10.000000,19.000000,1131273.504296,49.370345,1.000000,6.379663,22362319.000000,2032.400000,315.013269
10.000000,20.000000,1146674.531703,49.912353,1.000000,6.100682,22362325.000000,2182.000000,304.508937
11.000000,1.000000,739458.197442,33.679864,1.000000,15.828603,22362279.000000,0.000000,533.123269
11.000000,2.000000,822445.465206,34.879247,1.000000,12.773727,22362281.400000,85.000000,445.538081
11.000000,3.000000,940667.707928,36.013877,1.000000,9.258194,22362284.200000,187.600000,333.437110
11.000000,4.000000,983334.895568,36.919015,1.000000,8.324913,22362285.000000,305.200000,307.329414
11.000000,5.000000,1009189.355171,37.734789,1.000000,7.691376,22362289.000000,420.800000,290.223036
11.000000,6.000000,1017968.702681,38.575027,1.000000,7.557312,22362291.000000,546.600000,291.520873
11.000000,7.000000,1026536.095725,39.244921,1.000000,7.352721,22362291.000000,670.800000,288.579913
11.000000,8.000000,1031222.945671,39.771224,1.000000,7.276153,22362293.400000,799.400000,289.370438
11.000000,9.000000,1029344.270112,40.645403,1.000000,7.279485,22362298.600000,905.400000,295.834960
11.000000,10.000000,1051749.986768,41.491742,1.000000,6.852573,22362297.000000,1024.600000,284.319523
11.000000,11.000000,1041464.233646,42.126659,1.000000,7.060060,22362302.600000,1113.600000,297.376595
11.000000,12.000000,1043210.442062,43.165080,1.000000,7.024435,22362306.600000,1219.600000,303.203337
11.000000,13.000000,1047210.295620,43.934595,1.000000,6.930389,22362305.000000,1305.000000,304.438857
11.000000,14.000000,1061419.833801,44.476944,1.000000,6.647395,22362308.200000,1432.000000,295.631702
11.000000,15.000000,1060014.950304,45.024930,1.000000,6.671924,22362311.800000,1529.600000,300.379199
11.000000,16.000000,1058376.706991,45.473113,1.000000,6.702471,22362316.600000,1637.400000,304.740748
11.000000,17.000000,1056585.192551,45.986284,1.000000,6.743979,22362316.600000,1754.200000,310.177978
11.000000,18.000000,1050884.345819,47.020171,1.000000,6.871593,22362316.600000,1904.600000,323.067081
11.000000,19.000000,1054422.699821,47.674982,1.000000,6.775085,22362318.600000,2022.200000,323.038785
11.000000,20.000000,1042267.287393,48.276832,1.000000,6.911102,22362319.800000,2127.400000,333.642335
